"outcome","age_group","year","rate","stderr","lb","ub"
"noexercise","< 40 years",2020,0.3719861643954,0.00719938202646469,0.357972143580993,0.386204620213261
"noexercise","< 40 years",2022,0.37725169820831,0.00719561402161811,0.363257949046775,0.391492172102403
"noexercise","< 40 years",2024,0.388158783026397,0.00718878242695562,0.374253776688498,0.40263799665638
"noexercise","40-64 years",2020,0.490378271610553,0.00625926455109069,0.478173628406056,0.502641482682169
"noexercise","40-64 years",2022,0.500918314781824,0.00627471422111627,0.488739224062445,0.513288916869158
"noexercise","40-64 years",2024,0.480677677222237,0.00617134354806677,0.46866979307549,0.492630928542725
"noexercise","≥ 65 years",2020,0.554939925592329,0.00670386870382935,0.541756067973332,0.56801060832981
"noexercise","≥ 65 years",2022,0.554807604569044,0.00707940942387196,0.541022353352366,0.568697967465967
"noexercise","≥ 65 years",2024,0.54401430256371,0.00687389774325527,0.53057052262797,0.557460386438428
"strength","< 40 years",2020,0.404449947082678,0.0076975670463162,0.389276322087319,0.419729034622822
"strength","< 40 years",2022,0.388685677103985,0.00721641404947167,0.374708156138665,0.403111638367809
"strength","< 40 years",2024,0.387824997016908,0.00652060773121504,0.375008365795616,0.400986750885812
"strength","40-64 years",2020,0.259020450709046,0.00544838618018856,0.248269031978037,0.269699590090669
"strength","40-64 years",2022,0.251429838356014,0.00519526691712811,0.241370697979666,0.261646519413953
"strength","40-64 years",2024,0.282427791728797,0.00535161918022386,0.272066824097169,0.293195707728667
"strength","≥ 65 years",2020,0.188462838889513,0.00524132649338124,0.17842938578172,0.199095375785355
"strength","≥ 65 years",2022,0.19648437712713,0.0054958915589109,0.185926782554218,0.207517042799308
"strength","≥ 65 years",2024,0.215147825389579,0.00538257248097729,0.204843006103925,0.225822911752761
"aerobic","< 40 years",2020,0.558070230574358,0.00758288775522835,0.54316885257178,0.572957273363734
"aerobic","< 40 years",2022,0.557861474014655,0.00720231017464229,0.54367895049491,0.572110331686544
"aerobic","< 40 years",2024,0.546633340270961,0.00725091387976063,0.532596282463211,0.561017179591639
"aerobic","40-64 years",2020,0.440134267203988,0.00589079379867469,0.428888533736323,0.451776738929731
"aerobic","40-64 years",2022,0.435585033509901,0.00604823408126076,0.423917184171543,0.447664538921777
"aerobic","40-64 years",2024,0.448239480939448,0.00602810388594983,0.436311982192832,0.460106535312948
"aerobic","≥ 65 years",2020,0.37493595817471,0.00645803993500769,0.362145148332223,0.387839618986441
"aerobic","≥ 65 years",2022,0.378504493062177,0.00677811499160128,0.365209246975628,0.391721169033897
"aerobic","≥ 65 years",2024,0.383736993013977,0.00652494481894075,0.370905211751584,0.396398724080581
"bothexercise","< 40 years",2020,0.334355086033265,0.00739404920913518,0.32020519764662,0.348970202037066
"bothexercise","< 40 years",2022,0.323466702709485,0.0067346874304906,0.310439124530777,0.337041956690889
"bothexercise","< 40 years",2024,0.322688794769942,0.00601156768908773,0.310952329376769,0.334774932103759
"bothexercise","40-64 years",2020,0.190031807790239,0.00434845957776959,0.181662412515687,0.198648644905738
"bothexercise","40-64 years",2022,0.188316870129126,0.00446621189745453,0.179657377014573,0.197186004207379
"bothexercise","40-64 years",2024,0.211452960046693,0.00461240442095922,0.202571976317591,0.220503716777566
"bothexercise","≥ 65 years",2020,0.119083904303817,0.00385206713635455,0.111619904882691,0.126757507800165
"bothexercise","≥ 65 years",2022,0.129923342899519,0.00443889241769552,0.121358907718825,0.138857256266019
"bothexercise","≥ 65 years",2024,0.14309536952826,0.0043869065419211,0.134494256451725,0.151702858650644
